entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason,tf
2026-08-12 17:00:00,2026-08-13 16:00:00,BUY,4416.01,,,REV,-40.3,S427 BUY Open Close Cross,OCC SMMA8 altTFx3 ATR=n/a,H1
2026-08-13 16:00:00,2026-08-13 19:00:00,SELL,4375.91,,,REV,-12.02,S427 SELL Open Close Cross,OCC SMMA8 altTFx3 ATR=n/a,H1
2026-08-13 19:00:00,2026-08-13 22:00:00,BUY,4387.73,,,REV,-4.25,S427 BUY Open Close Cross,OCC SMMA8 altTFx3 ATR=n/a,H1
2026-08-13 22:00:00,2026-08-14 22:00:00,SELL,4383.68,,,REV,2.06,S427 SELL Open Close Cross,OCC SMMA8 altTFx3 ATR=n/a,H1
