TF,Direction,Open_Time,Close_Time,Entry,SL,TP,Profit,Outcome
H1,BUY,2026-08-12 17:00:00,2026-08-13 16:00:00,4416.01,,,-40.3,REV
H1,SELL,2026-08-13 16:00:00,2026-08-13 19:00:00,4375.91,,,-12.02,REV
H1,BUY,2026-08-13 19:00:00,2026-08-13 22:00:00,4387.73,,,-4.25,REV
H1,SELL,2026-08-13 22:00:00,2026-08-14 22:00:00,4383.68,,,2.06,REV
